ano,estado,municipio,diasemchuva,precipitacao,riscofogo,frp,fococalor,indrisco,indriscocat,IPS Amazônia,Media IPS,Ranking IPS,Necessidades Humanas Básicas,Fundamentos para o Bem-Estar,Oportunidades,Nutrição e cuidados médicos básicos,Água e saneamento,Moradia,Segurança pessoal,Acesso ao conhecimento básico,Acesso à informação e comunicação,Saúde e bem-estar,Qualidade do meio ambiente,Direitos individuais,Liberdade individual e de escolha,Tolerância e inclusão,Acesso à educação superior,Mortalidade infantil até 5 anos,Mortalidade materna,Mortalidade por desnutrição,Mortalidade por doenças infecciosas,Subnutrição,Abastecimento de água,Esgotamento sanitário,Índice de atendimento de agua,Coleta de lixo,Moradias com iluminação adequada,Moradias com parede adequada,Moradias com piso adequado,Assassinatos de jovens,Assassinatos de jovens Taxa,Homicídios,Homicídios Taxa,Mortes por acidente no trânsito,Abandono escolar ensino fundamental,Distorção idade-série ensino fundamental,Distorção idade-série ensino médio,Qualidade da educação Ideb ensino fundamental,Reprovação escolar ensino fundamental,Densidade internet banda-larga,Densidade telefonia fixa,Densidade telefonia movel,Densidade TV por assinatura,Mortalidade por diabetes mellitus,Mortalidade por câncer,Mortalidade por doenças circulatórias,Mortalidade por doenças respiratórias,Mortalidade por suicídios,Áreas Protegidas,Desmatamento acumulado,Desmatamento recente,Emissões CO2,Focos de calor por habitantes,Diversidade Partidária,Transporte Público,"Acesso à cultura, esporte e lazer",Gravidez na infância e adolescência,Trabalho Infantil,Vulnerabilidade familiar,Violência contra indígenas,Violência contra indígenas Taxa,Violência contra mulheres,Violência infantil,Violência infantil Taxa,Empregos ensino superior,Mulheres com empregos ensino superior
2014,ACRE,ACRELANDIA,0.9,0.35,0.23,0.0,425,101.45,Q2,54.64,54.45,357,62.07,57.08,44.77,93.84,33.23,76.6,44.61,69.92,12.54,89.82,56.05,21.91,60.38,88.16,8.63,18.59,0.0,6.66,6.66,3.73,28.54,51.21,30.13,47.45,90.2,95.07,69.45,35.68,5.0,20.66,5.0,21.34,3.3,27.0,32.4,4.5,5.2,6.35,9.54,55.83,2.15,6.66,33.29,66.58,33.29,0.0,0.0,60.54,2.96,47.05,6.37,55.56,3.6,1.0,26.77,288.91,12.27,0.0,1.0,29.6,22.32,2.0,13.81,7.35
2014,ACRE,ASSIS BRASIL,1.7,0.46,0.15,0.0,315,49.85,Q2,53.48,54.45,446,61.93,59.03,39.47,88.56,47.36,55.45,56.35,50.45,18.74,75.53,91.41,21.59,62.8,68.29,5.22,20.41,0.0,13.7,27.4,4.23,41.29,53.93,51.13,37.09,61.23,69.71,51.33,110.55,6.0,9.13,3.0,4.57,2.7,46.9,39.1,4.2,14.8,16.23,16.29,47.77,5.74,27.4,41.1,136.99,82.19,13.7,88.61,5.23,5.7,46.27,21.45,66.67,0.76,5.0,36.22,201.25,17.35,1.88,2.0,58.91,80.48,3.0,8.17,4.54
2014,ACRE,BRASILEIA,1.4,0.38,0.19,0.0,1077,215.57,Q3,50.05,54.45,692,63.86,64.62,21.66,94.31,50.69,71.35,39.08,79.48,23.6,80.69,74.71,17.7,62.01,0.0,6.95,16.45,0.0,3.87,7.74,4.28,42.95,61.62,54.32,51.81,75.15,85.42,69.86,56.5,6.0,24.25,5.0,20.59,1.0,21.7,32.5,5.45,5.3,16.8,21.89,66.89,10.01,23.21,69.64,92.85,38.69,10.3,51.47,33.4,4.84,58.09,22.36,54.55,0.64,3.0,31.08,144.83,20.11,40.0,5.0,300.0,683.19,5.0,9.97,6.59
2014,ACRE,BUJARI,0.8,0.38,0.12,0.0,326,42.26,Q2,54.02,54.45,405,68.09,51.58,42.39,92.05,41.28,68.66,70.37,54.28,9.62,79.25,63.17,19.18,54.6,86.42,9.37,4.13,4.13,9.89,9.89,4.85,37.47,46.77,43.01,50.03,76.57,85.25,61.06,0.0,1.0,10.39,4.0,46.35,4.5,34.7,37.4,4.15,7.3,4.45,8.08,36.47,5.66,21.34,98.9,69.23,19.78,19.78,12.5,39.53,2.31,78.92,13.33,55.56,1.53,3.0,34.3,824.47,16.12,0.0,1.0,45.11,32.66,2.0,12.97,9.16
2014,ACRE,CAPIXABA,0.8,0.11,0.08,0.0,435,40.75,Q2,53.15,54.45,479,60.73,52.08,46.65,90.87,32.29,72.3,47.44,55.57,13.55,81.29,57.89,18.46,60.37,100.0,7.76,34.19,0.0,10.67,8.73,3.38,36.53,12.39,36.77,40.6,76.76,93.72,72.42,38.63,5.0,16.49,4.0,48.18,4.1,35.8,38.0,4.35,8.9,8.96,12.14,44.16,4.47,8.73,69.83,34.92,69.83,9.87,3.32,49.99,3.57,69.47,15.96,55.56,0.98,3.0,32.05,172.42,26.07,0.0,1.0,0.0,0.0,1.0,11.6,7.08
2014,ACRE,CRUZEIRO DO SUL,0.8,0.34,0.11,0.0,604,73.24,Q2,53.6,54.45,440,63.38,62.42,35.0,90.31,40.6,77.14,45.49,70.69,23.95,79.3,75.75,19.63,71.91,40.56,7.92,15.95,0.55,2.28,27.37,6.71,41.66,18.78,49.56,61.66,79.19,89.44,75.87,28.85,5.0,20.74,5.0,16.04,1.8,25.5,32.2,4.55,5.9,17.56,19.85,72.48,9.79,29.66,57.03,101.51,58.17,6.84,29.26,11.22,2.46,15.17,3.23,57.14,1.49,9.0,28.49,572.02,23.38,2.13,2.0,230.1,226.39,4.0,11.15,7.63
2014,ACRE,EPITACIOLANDIA,1.1,0.15,0.16,0.0,422,73.12,Q2,61.3,54.45,35,72.33,62.17,49.41,96.97,60.74,80.46,51.13,74.3,20.6,84.59,69.19,25.23,62.68,100.0,9.72,7.63,0.0,0.0,0.0,5.47,63.14,56.36,60.08,70.53,87.99,95.76,68.51,14.23,4.0,21.67,5.0,16.15,1.6,21.5,30.6,4.8,4.9,14.23,19.32,59.4,8.84,16.55,38.63,82.77,38.63,11.04,38.79,50.34,3.33,35.05,11.55,77.78,0.91,3.0,25.95,482.91,17.18,0.0,1.0,0.0,0.0,1.0,13.46,9.5
2014,ACRE,FEIJO,0.9,0.21,0.1,0.0,1313,144.43,Q3,50.59,54.45,669,54.24,57.11,40.42,90.18,14.08,58.37,54.35,53.6,12.09,86.74,75.98,14.54,56.24,87.4,3.48,26.54,1.19,5.77,17.3,5.26,11.85,17.86,14.82,48.29,58.54,72.55,53.76,35.34,5.0,17.74,4.0,6.73,4.8,41.7,42.2,4.55,11.2,6.96,9.41,47.65,3.61,8.65,23.07,63.45,51.91,8.65,37.01,5.08,6.48,47.86,22.77,46.15,0.22,2.0,31.72,221.8,39.81,0.0,1.0,36.35,36.0,2.0,5.31,3.12
2014,ACRE,JORDAO,0.7,0.41,0.15,0.0,189,29.39,Q1,49.94,54.45,699,55.17,56.63,38.03,88.11,32.02,41.04,59.51,49.98,4.45,88.67,83.44,15.82,56.09,71.06,9.15,24.82,4.12,18.7,12.26,2.71,28.46,23.56,39.96,37.85,31.5,48.8,45.34,15.58,4.0,18.58,4.0,9.66,2.9,47.0,53.6,3.95,8.9,0.76,2.61,27.57,0.82,0.0,24.51,26.12,49.03,12.26,60.99,2.85,10.63,29.22,10.91,44.44,1.58,2.0,29.08,610.69,28.01,0.49,2.0,110.1,27.35,2.0,14.87,7.64
2014,ACRE,MANCIO LIMA,0.4,0.52,0.05,0.0,203,12.33,Q1,59.05,54.45,87,67.66,61.13,48.36,95.34,43.39,71.73,60.18,64.65,9.43,82.06,88.39,25.05,66.62,90.15,11.63,12.11,0.0,0.0,5.83,5.83,51.21,17.61,46.58,43.45,76.79,81.12,78.47,35.58,5.0,9.25,3.0,15.54,2.3,28.0,34.5,4.15,7.8,4.46,5.96,43.16,3.68,10.73,69.75,96.58,37.56,10.73,70.15,7.27,2.25,12.22,6.28,77.78,0.77,4.0,24.94,301.1,19.85,0.0,1.0,11.86,15.51,2.0,16.61,11.07
